"testing_strategy","weighted_risk_reduction"
"every_other_day",0.252050901556103
"every_other_day",0.179156990121964
"every_other_day",0.136052279829
"every_other_day",0.153493993793714
"every_other_day",0.147102476698823
"every_other_day",0.133325106856805
"every_other_day",0.186687898734598
"every_other_day",0.115540717871645
"every_other_day",0.255950358059034
"every_other_day",0.220253227440643
"every_other_day",0.173220326552772
"every_other_day",0.369583479016749
"every_other_day",0.264760167172965
"every_other_day",0.161030321497739
"every_other_day",0.165584585978334
"every_other_day",0.160156798109524
"every_other_day",0.151976231151162
"every_other_day",0.164282460717645
"every_other_day",0.136929846952246
"every_other_day",0.144648132895968
"every_other_day",0.170774700879527
"every_other_day",0.133055213271497
"every_other_day",0.16022814854369
"every_other_day",0.194794315536674
"every_other_day",0.242460241801333
"every_other_day",0.145369665911375
"every_other_day",0.166141643159511
"every_other_day",0.240845108246613
"every_other_day",0.148715734476041
"every_other_day",0.193970648474695
"every_other_day",0.124845930089502
"every_other_day",0.182871005032259
"every_other_day",0.179203386500922
"every_other_day",0.145681210473851
"every_other_day",0.263771742870675
"every_other_day",0.142245982362782
"every_other_day",0.136556726679168
"every_other_day",0.158751939102578
"every_other_day",0.171172884195709
"every_other_day",0.14880049113116
"every_other_day",0.281213472068471
"every_other_day",0.199587533043188
"every_other_day",0.143579184258888
"every_other_day",0.195117001793186
"every_other_day",0.164173033273715
"every_other_day",0.122989900002767
"every_other_day",0.105964084914638
"every_other_day",0.22436882938281
"every_other_day",0.18512627464698
"every_other_day",0.15366275714269
"every_other_day",0.188074082769954
"every_other_day",0.142867041223293
"every_other_day",0.201267690512851
"every_other_day",0.195390527137232
"every_other_day",0.185828492451437
"every_other_day",0.219128834973681
"every_other_day",0.240717227719077
"every_other_day",0.254929312253144
"every_other_day",0.222102697143709
"every_other_day",0.176990417809263
"every_other_day",0.124259006938503
"every_other_day",0.122286177089062
"every_other_day",0.188224499129951
"every_other_day",0.16736406300094
"every_other_day",0.138369798028631
"every_other_day",0.17820091597871
"every_other_day",0.165854959886188
"every_other_day",0.163490674381911
"every_other_day",0.150100463141143
"every_other_day",0.174025391772693
"every_other_day",0.157979057491227
"every_other_day",0.221483176940326
"every_other_day",0.14112665054052
"every_other_day",0.12552442321615
"every_other_day",0.221667230775956
"every_other_day",0.342295863904948
"every_other_day",0.229507843640088
"every_other_day",0.176714019644943
"every_other_day",0.140329254440147
"every_other_day",0.152113875832896
"every_other_day",0.197267746892592
"every_other_day",0.126597719858605
"every_other_day",0.197962422503348
"every_other_day",0.248124922040813
"every_other_day",0.165136599364986
"every_other_day",0.118515817633909
